"","name","country","area","population","pop_density","species_count"
"1","Noorderhaaks","DE",5,0,0,0
"2","Texel","NL",162,13950,86.1111111111111,82
"3","Vlieland","NL",39,1254,32.1538461538462,24
"4","Terschelling","NL",85,4890,57.5294117647059,452
"5","Ameland","NL",59,3834,64.9830508474576,344
"6","Schiermonnikoog","NL",40,982,24.55,24
"7","Rottumerplaat","NL",8,0,0,185
"8","Rottumeroog","NL",2,0,0,188
"9","Borkum","DE",31,5002,161.354838709677,6
"10","Kachelotplate","DE",2,0,0,0
"11","Memmert","DE",5,0,0,0
"12","Juist","DE",16,1534,95.875,32
"13","Norderney","DE",26,6032,232,328
"14","Baltrum","DE",6,599,99.8333333333333,332
"15","Langeoog","DE",20,1812,90.6,22
"16","Spiekeroog","DE",18,843,46.8333333333333,45
"17","Wangerooge","DE",5,1055,211,343
"18","Mellum","DE",1,0,0,0
"19","Langlutjen","DE",2,0,0,0
"20","Neuwerk","DE",3,30,10,47
"21","Trischen","DE",2,1,0.5,0
"22","Pellworm","DE",37,1203,32.5135135135135,1
"23","Amrum","DE",20,2300,115,10
"24","Föhr","DE",82,8649,105.475609756098,0
"25","Sylt","DE",99,21000,212.121212121212,12
"26","Gröde","DE",2,11,5.5,0
"27","Hooge","DE",6,103,17.1666666666667,0
"28","Langeness","DE",10,110,11,0
"29","Oland","DE",1,29,29,8
"30","Nordstrandischmoor","DE",2,22,11,0
"31","Süderoog","DE",1,2,2,0
"32","Rømø","DK",130,575,4.42307692307692,715
"33","Fanø","DK",56,3207,57.2678571428571,371
"34","Mandø","DK",8,30,3.75,364
"35","Langli","DK",1,0,0,138
