"","gbifID","species","locality"
"1",728979881,"Cynosurus cristatus","Texel"
"2",4089077596,"Mentha aquatica","Texel"
"3",4089077594,"Argentina anserina","Texel"
"4",3855126822,"Koeleria glauca","Texel"
"5",3855126820,"Koeleria glauca","Texel"
"6",3855126819,"Sagina nodosa","Texel"
"7",3855126797,"Oenanthe fistulosa","Texel"
"8",3855126792,"Oenanthe fistulosa","Texel"
"9",3855126789,"Cladium mariscus","Texel"
"10",3855126788,"Juncus compressus","Texel"
"11",3855126787,"Carex praecox","Texel"
"12",3855126785,"Juncus gerardi","Texel"
"13",3855126762,"Blysmus rufus","Texel"
"14",3855126761,"Carex disticha","Texel"
"15",3855126760,"Carex distans","Texel"
"16",3855126759,"Carex arenaria","Texel"
"17",3855126758,"Carex colchica","Texel"
"18",3855126757,"Carex nigra","Texel"
"19",3855126754,"Carex nigra","Texel"
"20",3855126751,"Eleocharis quinqueflora","Texel"
"21",3855126749,"Bolboschoenus maritimus","Texel"
"22",3855126740,"Carex disticha","Texel"
"23",3855126735,"Ranunculus aquatilis","Texel"
"24",3855126728,"Ranunculus aquatilis","Texel"
"25",3855126727,"Ranunculus circinatus","Texel"
"26",3855126726,"Carex paniculata","Texel"
"27",3855126627,"Rorippa palustris","Texel"
"28",3855102780,"Ajuga pyramidalis","Texel"
"29",3855102777,"Cynoglossum officinale","Texel"
"30",3855102774,"Prunella vulgaris","Texel"
"31",3855102517,"Rosa spinosissima","Texel"
"32",3855102514,"Polygala vulgaris","Texel"
"33",3855093500,"Stuckenia pectinata","Texel"
"34",3084006581,"Spergularia media","Texel"
"35",3084006543,"Polygonum maritimum","Texel"
"36",3084006541,"Atriplex prostrata","Texel"
"37",3084006535,"Salsola kali","Texel"
"38",3084006529,"Halimione portulacoides","Texel"
"39",3084006528,"Suaeda maritima","Texel"
"40",3084006375,"Chenopodium rubrum","Texel"
"41",3084006372,"Rumex maritimus","Texel"
"42",3084005922,"Trifolium fragiferum","Texel"
"43",3084005921,"Trifolium arvense","Texel"
"44",3084005865,"Vicia pubescens","Texel"
"45",3084005860,"Genista tinctoria","Texel"
"46",3084005684,"Geum rivale","Texel"
"47",3084005677,"Parnassia palustris","Texel"
"48",3084005673,"Potentilla erecta","Texel"
"49",3084005660,"Cochlearia anglica","Texel"
"50",3084003999,"Myosotis laxa","Texel"
"51",3084003980,"Amsinckia menziesii","Texel"
"52",3084003966,"Myosotis arvensis","Texel"
"53",3084003865,"Galium aparine","Texel"
"54",3084003672,"Lysimachia maritima","Texel"
"55",3084003666,"Centaurium littorale","Texel"
"56",3084003663,"Armeria maritima","Texel"
"57",3084003661,"Armeria maritima","Texel"
"58",3084003659,"Limonium vulgare","Texel"
"59",3084003657,"Lysimachia maritima","Texel"
"60",3084003246,"","Texel"
"61",3084003104,"Lycopus europaeus","Texel"
"62",3084002939,"Veronica catenata","Texel"
"63",3084002915,"Rhinanthus minor","Texel"
"64",3083988798,"Carex distans","Texel"
"65",3083988739,"Bolboschoenus maritimus","Texel"
"66",3083988725,"Bolboschoenus maritimus","Texel"
"67",3083988700,"Schoenoplectus tabernaemontani","Texel"
"68",3083988698,"Carex panicea","Texel"
"69",3083988497,"Sporobolus anglicus","Texel"
"70",3083988490,"Sporobolus anglicus","Texel"
"71",3083988055,"Geranium pyrenaicum","Texel"
"72",3083987913,"Silene vulgaris","Texel"
"73",3083987838,"Gentianella amarella","Texel"
"74",3083987214,"Juncus alpinoarticulatus","Texel"
"75",3083987213,"Juncus maritimus","Texel"
"76",3083986910,"Artemisia maritima","Texel"
"77",2838326010,"Anacamptis morio","Texel"
"78",2837822077,"Ophioglossum vulgatum","Texel"
"79",2835142012,"Juncus anceps","Texel"
"80",2835142004,"Cakile maritima","Texel"
"81",2570395493,"Odontites vulgaris","Texel"
"82",2570392270,"Carex panicea","Texel"
"83",2570391369,"Erigeron acer","Texel"
"84",2570390977,"","Texel"
"85",2570390668,"Rhinanthus minor","Texel"
"86",2570390118,"Myosotis scorpioides","Texel"
"87",2570389911,"Spergularia marina","Texel"
"88",2570388343,"Salicornia europaea","Texel"
"89",2570387731,"Suaeda maritima","Texel"
"90",2570295221,"Halimione portulacoides","Texel"
"91",2516819191,"Erodium cicutarium","Texel"
"92",2513268993,"Vinealobryum vineale","Texel"
"93",1964261485,"Euphorbia esula","Texel"
"94",1964212145,"Urtica urens","Texel"
"95",1964212111,"Juncus subnodulosus","Texel"
"96",1964155531,"Jacobaea vulgaris","Texel"
"97",1964138838,"Parnassia palustris","Texel"
"98",1964086249,"Mentha pulegium","Texel"
"99",1964005689,"Sporobolus anglicus","Texel"
"100",1963997795,"Atriplex prostrata","Texel"
"101",1962371251,"Carduus nutans","Texel"
"102",3084001299,"Honckenya peploides","Vlieland"
"103",3084001294,"Artemisia maritima","Vlieland"
"104",3084001287,"Cynosurus cristatus","Vlieland"
"105",3083997458,"Dicranum scoparium","Vlieland"
"106",3083995827,"Aulacomnium androgynum","Vlieland"
"107",3083995788,"Mnium hornum","Vlieland"
"108",3083995397,"Drepanocladus aduncus","Vlieland"
"109",3083995040,"Campylopus introflexus","Vlieland"
"110",3083994998,"Lophocolea heterophylla","Vlieland"
"111",3083994991,"Lophocolea heterophylla","Vlieland"
"112",3083983608,"Hypnum cupressiforme","Vlieland"
"113",3083983583,"Hypnum cupressiforme","Vlieland"
"114",3083980296,"Polytrichum juniperinum","Vlieland"
"115",3083980265,"Kindbergia praelonga","Vlieland"
"116",3083980261,"Pseudoscleropodium purum","Vlieland"
"117",2570395879,"Mentha rotundifolia","Vlieland"
"118",2570393332,"Ophioglossum vulgatum","Vlieland"
"119",2570391787,"Allium vineale","Vlieland"
"120",2570391435,"Ranunculus peltatus","Vlieland"
"121",2570391085,"Samolus valerandi","Vlieland"
"122",2570390957,"Senecio sylvaticus","Vlieland"
"123",2570390766,"Tuberaria guttata","Vlieland"
"124",2570390423,"Erodium cicutarium","Vlieland"
"125",2516756365,"Carex nigra","Vlieland"
"126",2514740078,"Juncus gerardi","Vlieland"
"127",2514720539,"Carex nigra","Vlieland"
"128",2514657792,"Thinopyrum junceiforme","Vlieland"
"129",728979031,"Festuca ambigua","Terschelling"
"130",616371559,"Arctium minus","Terschelling"
"131",616371558,"Genista tinctoria","Terschelling"
"132",616368564,"Armeria maritima","Terschelling"
"133",616360597,"Centaurium littorale","Terschelling"
"134",616360596,"Centaurium pulchellum","Terschelling"
"135",616357196,"Pyrola rotundifolia","Terschelling"
"136",616356848,"Parnassia palustris","Terschelling"
"137",616356834,"Epipactis palustris","Terschelling"
"138",616355860,"Gymnadenia conopsea","Terschelling"
"139",4410908437,"Crambe maritima","Terschelling"
"140",4410903952,"Crambe maritima","Terschelling"
"141",4410902008,"Empetrum nigrum","Terschelling"
"142",4410897662,"Empetrum nigrum","Terschelling"
"143",4410870719,"Linaria vulgaris","Terschelling"
"144",4410813243,"Empetrum nigrum","Terschelling"
"145",4410803548,"Cirsium vulgare","Terschelling"
"146",4410793501,"Crithmum maritimum","Terschelling"
"147",4410775107,"Solanum nigrum","Terschelling"
"148",4410769806,"Crithmum maritimum","Terschelling"
"149",4410758659,"Persicaria amphibia","Terschelling"
"150",4410740201,"Malva neglecta","Terschelling"
"151",4410704281,"Achillea millefolium","Terschelling"
"152",4410680385,"Senecio sylvaticus","Terschelling"
"153",4410668302,"Capsella bursa-pastoris","Terschelling"
"154",4410621313,"Crambe maritima","Terschelling"
"155",4410604570,"Taraxacum officinale","Terschelling"
"156",4410525107,"Tripleurospermum maritimum","Terschelling"
"157",4410513054,"Crithmum maritimum","Terschelling"
"158",4410445674,"Rosa spinosissima","Terschelling"
"159",4410414433,"","Terschelling"
"160",4410396742,"","Terschelling"
"161",4410365111,"Lythrum salicaria","Terschelling"
"162",4410343281,"Rosa spinosissima","Terschelling"
"163",4410277722,"Crambe maritima","Terschelling"
"164",4410269480,"Crithmum maritimum","Terschelling"
"165",4410261427,"Cerastium fontanum","Terschelling"
"166",4410260487,"Reseda lutea","Terschelling"
"167",4410256996,"Crithmum maritimum","Terschelling"
"168",4410242436,"Calluna vulgaris","Terschelling"
"169",4410223671,"Hippuris vulgaris","Terschelling"
"170",4410211365,"Crambe maritima","Terschelling"
"171",4410205167,"Polygonum aviculare","Terschelling"
"172",4410186238,"Erigeron acris","Terschelling"
"173",4410177723,"Calluna vulgaris","Terschelling"
"174",4410164942,"Myrica gale","Terschelling"
"175",4410158711,"Crithmum maritimum","Terschelling"
"176",4410127863,"Crambe maritima","Terschelling"
"177",4410124589,"Erigeron acris","Terschelling"
"178",4410077932,"Euphrasia stricta","Terschelling"
"179",4410041695,"Hippuris vulgaris","Terschelling"
"180",4410026161,"Crambe maritima","Terschelling"
"181",4409972966,"Rosa rugosa","Terschelling"
"182",4409965720,"Vaccinium macrocarpon","Terschelling"
"183",4409945750,"Crambe maritima","Terschelling"
"184",4409926719,"Euphrasia stricta","Terschelling"
"185",4409919644,"Cirsium vulgare","Terschelling"
"186",4409914681,"Crithmum maritimum","Terschelling"
"187",4409914120,"Trifolium arvense","Terschelling"
"188",4409824114,"Crambe maritima","Terschelling"
"189",4409801567,"Echium vulgare","Terschelling"
"190",4409800741,"Sparganium erectum","Terschelling"
"191",4409789591,"Crithmum maritimum","Terschelling"
"192",4409777059,"Galium verum","Terschelling"
"193",4409759247,"Chenopodium album","Terschelling"
"194",4409711396,"Calluna vulgaris","Terschelling"
"195",4409710501,"Tripolium pannonicum","Terschelling"
"196",4409681400,"Jasione montana","Terschelling"
"197",4409669720,"Stellaria graminea","Terschelling"
"198",4409655634,"Crithmum maritimum","Terschelling"
"199",4409648681,"Tripleurospermum maritimum","Terschelling"
"200",4409643843,"Lythrum salicaria","Terschelling"
"201",4409637897,"Crithmum maritimum","Terschelling"
"202",4409562803,"Rosa rugosa","Terschelling"
"203",4409554812,"Persicaria amphibia","Terschelling"
"204",4409519656,"Tripleurospermum maritimum","Terschelling"
"205",4409516286,"Rosa spinosissima","Terschelling"
"206",4409503407,"Prunella vulgaris","Terschelling"
"207",4409479999,"Viola tricolor","Terschelling"
"208",4409475840,"Cakile maritima","Terschelling"
"209",4409429562,"Empetrum nigrum","Terschelling"
"210",4409417420,"Rumex crispus","Terschelling"
"211",4409387624,"Polygonum aviculare","Terschelling"
"212",4409381955,"Hippophae rhamnoides","Terschelling"
"213",4409366719,"Echium vulgare","Terschelling"
"214",4409365325,"Crithmum maritimum","Terschelling"
"215",4409358970,"Crambe maritima","Terschelling"
"216",4409350255,"Tripleurospermum maritimum","Terschelling"
"217",4409349619,"Jasione montana","Terschelling"
"218",4409279393,"Crithmum maritimum","Terschelling"
"219",4409258320,"Echium vulgare","Terschelling"
"220",4409248721,"Persicaria amphibia","Terschelling"
"221",4409248521,"Tripleurospermum maritimum","Terschelling"
"222",4409228435,"Crambe maritima","Terschelling"
"223",4409155668,"Epilobium hirsutum","Terschelling"
"224",4409119457,"Artemisia maritima","Terschelling"
"225",4409094962,"Scutellaria galericulata","Terschelling"
"226",4409048769,"Crambe maritima","Terschelling"
"227",4408978449,"Achillea millefolium","Terschelling"
"228",4408945555,"Erica tetralix","Terschelling"
"229",4408917248,"Potentilla erecta","Terschelling"
"230",4408904425,"Echium vulgare","Terschelling"
"231",4408897837,"Polytrichum juniperinum","Terschelling"
"232",4408868618,"Rosa spinosissima","Terschelling"
"233",4408865286,"Salix triandra","Terschelling"
"234",4408827918,"Raphanus raphanistrum","Terschelling"
"235",4408769050,"Atriplex littoralis","Terschelling"
"236",4408764316,"Comarum palustre","Terschelling"
"237",4408717171,"Asplenium scolopendrium","Terschelling"
"238",4408710940,"Linaria vulgaris","Terschelling"
"239",4408698115,"Potentilla erecta","Terschelling"
"240",4408683645,"Crambe maritima","Terschelling"
"241",4408682402,"Reseda lutea","Terschelling"
"242",4408674391,"Crithmum maritimum","Terschelling"
"243",4408602780,"Erica tetralix","Terschelling"
"244",4408574025,"Crambe maritima","Terschelling"
"245",4408545671,"Lythrum salicaria","Terschelling"
"246",4408479359,"Dactylorhiza majalis","Terschelling"
"247",4408448567,"","Terschelling"
"248",4408388476,"Viola tricolor","Terschelling"
"249",4408368066,"Potentilla erecta","Terschelling"
"250",4408315870,"Cerastium glomeratum","Terschelling"
"251",4408279979,"Viola canina","Terschelling"
"252",4408171842,"Malus domestica","Terschelling"
"253",4408150274,"Malus domestica","Terschelling"
"254",4408120013,"Isolepis setacea","Terschelling"
"255",4408119165,"","Terschelling"
"256",4408062081,"Cakile maritima","Terschelling"
"257",4408059242,"Papaver somniferum","Terschelling"
"258",4160963498,"Rumex crispus","Terschelling"
"259",4160961323,"Calamagrostis arenaria","Terschelling"
"260",4160955066,"Rumex crispus","Terschelling"
"261",4160882397,"Sonchus asper","Terschelling"
"262",4160868522,"Lythrum salicaria","Terschelling"
"263",4160862182,"Crambe maritima","Terschelling"
"264",4160829114,"Crambe maritima","Terschelling"
"265",4160811176,"Lysimachia maritima","Terschelling"
"266",4160795266,"Calamagrostis arenaria","Terschelling"
"267",4160785168,"Artemisia maritima","Terschelling"
"268",4160766509,"Rosa spinosissima","Terschelling"
"269",4160694529,"Sagina procumbens","Terschelling"
"270",4160643882,"Lycopsis arvensis","Terschelling"
"271",4160641412,"Rosa spinosissima","Terschelling"
"272",4160630217,"Rosa spinosissima","Terschelling"
"273",4160623202,"Vaccinium macrocarpon","Terschelling"
"274",4160604859,"","Terschelling"
"275",4160588967,"Vaccinium macrocarpon","Terschelling"
"276",4160562193,"","Terschelling"
"277",4160545525,"Crassula tillaea","Terschelling"
"278",4160530765,"Juncus conglomeratus","Terschelling"
"279",4160517865,"Tripleurospermum maritimum","Terschelling"
"280",4160487916,"Spergularia marina","Terschelling"
"281",4160461270,"Dicranum scoparium","Terschelling"
"282",4160438982,"Vaccinium macrocarpon","Terschelling"
"283",4160425147,"Crambe maritima","Terschelling"
"284",4160419035,"Sonchus asper","Terschelling"
"285",4160409353,"Crambe maritima","Terschelling"
"286",4160392109,"","Terschelling"
"287",4160374847,"Pedicularis sylvatica","Terschelling"
"288",4160371336,"Malva neglecta","Terschelling"
"289",4160359215,"Cerastium glomeratum","Terschelling"
"290",4160353815,"Crithmum maritimum","Terschelling"
"291",4160311928,"Sonchus arvensis","Terschelling"
"292",4160285911,"Empetrum nigrum","Terschelling"
"293",4160273726,"Beta vulgaris","Terschelling"
"294",4160267617,"Crassula tillaea","Terschelling"
"295",4160219303,"Anthyllis vulneraria","Terschelling"
"296",4160213579,"Artemisia maritima","Terschelling"
"297",4160187168,"Malva neglecta","Terschelling"
"298",4160162010,"Crithmum maritimum","Terschelling"
"299",4160156353,"Cirsium arvense","Terschelling"
"300",4160106022,"Crithmum maritimum","Terschelling"
"301",4160098144,"Calamagrostis arenaria","Terschelling"
"302",4159966960,"Cotula coronopifolia","Terschelling"
"303",4159953586,"Jasione montana","Terschelling"
"304",4159917764,"Viola canina","Terschelling"
"305",4159852307,"Schoenus nigricans","Terschelling"
"306",4159824157,"Crambe maritima","Terschelling"
"307",4159818108,"Corynephorus canescens","Terschelling"
"308",4159779596,"Dicranum scoparium","Terschelling"
"309",4159778069,"Dactylorhiza maculata","Terschelling"
"310",4159774812,"Empetrum nigrum","Terschelling"
"311",4159749557,"Malva neglecta","Terschelling"
"312",4159740736,"Crambe maritima","Terschelling"
"313",4159668592,"Ulex europaeus","Terschelling"
"314",4159650266,"Baldellia ranunculoides","Terschelling"
"315",4159635568,"Spergularia media","Terschelling"
"316",4159611744,"Crassula tillaea","Terschelling"
"317",4159605095,"Euphrasia stricta","Terschelling"
"318",4159540835,"Hippuris vulgaris","Terschelling"
"319",4159531754,"Veronica officinalis","Terschelling"
"320",4159525519,"Pedicularis sylvatica","Terschelling"
"321",4159472754,"Salix repens","Terschelling"
"322",4159470867,"Rumex crispus","Terschelling"
"323",4159470192,"Limonium vulgare","Terschelling"
"324",4159456294,"Erigeron acris","Terschelling"
"325",4159439651,"Crithmum maritimum","Terschelling"
"326",4159425657,"Anthyllis vulneraria","Terschelling"
"327",4159407073,"Carex trinervis","Terschelling"
"328",4159394099,"Malva neglecta","Terschelling"
"329",4159348037,"Rosa spinosissima","Terschelling"
"330",4159337112,"Chamaenerion angustifolium","Terschelling"
"331",4159315686,"Ranunculus sceleratus","Terschelling"
"332",4159297899,"Rosa spinosissima","Terschelling"
"333",4159226972,"Galium aparine","Terschelling"
"334",4159221980,"Crambe maritima","Terschelling"
"335",4159190466,"Malva neglecta","Terschelling"
"336",4159168105,"Rumex crispus","Terschelling"
"337",4159158196,"Crithmum maritimum","Terschelling"
"338",4159131810,"Reseda lutea","Terschelling"
"339",4159107267,"Malva neglecta","Terschelling"
"340",4159095047,"Crambe maritima","Terschelling"
"341",4159076383,"Trifolium dubium","Terschelling"
"342",4159046356,"Crambe maritima","Terschelling"
"343",4158992662,"Teesdalia nudicaulis","Terschelling"
"344",4158930585,"Cakile maritima","Terschelling"
"345",4158926945,"Viola canina","Terschelling"
"346",4158919366,"Ophioglossum vulgatum","Terschelling"
"347",4158917306,"Torilis nodosa","Terschelling"
"348",4158913711,"Crassula tillaea","Terschelling"
"349",4158907887,"Claytonia perfoliata","Terschelling"
"350",4158894279,"Malva neglecta","Terschelling"
"351",4158869821,"Genista anglica","Terschelling"
"352",4158866615,"Malva neglecta","Terschelling"
"353",4158840329,"Crambe maritima","Terschelling"
"354",4158801184,"Rosa spinosissima","Terschelling"
"355",4158798581,"Hordeum murinum","Terschelling"
"356",4158792545,"Artemisia maritima","Terschelling"
"357",4158783961,"Cerastium glomeratum","Terschelling"
"358",4158742795,"Crambe maritima","Terschelling"
"359",4158719814,"Crambe maritima","Terschelling"
"360",4158701919,"Pedicularis sylvatica","Terschelling"
"361",4158693017,"Crambe maritima","Terschelling"
"362",4158689781,"Sedum acre","Terschelling"
"363",4158662848,"Silene dioica","Terschelling"
"364",4158654963,"Crambe maritima","Terschelling"
"365",4158631629,"Malva neglecta","Terschelling"
"366",4158604741,"Spergularia marina","Terschelling"
"367",4158597755,"Ulex europaeus","Terschelling"
"368",4158579377,"Anacamptis morio","Terschelling"
"369",4158505337,"Sonchus asper","Terschelling"
"370",4158490603,"Myrica gale","Terschelling"
"371",4158416766,"Crambe maritima","Terschelling"
"372",4158382103,"Crithmum maritimum","Terschelling"
"373",4158371330,"Juncus bufonius","Terschelling"
"374",4158343607,"Rosa spinosissima","Terschelling"
"375",4158298868,"Crambe maritima","Terschelling"
"376",4158291641,"Crambe maritima","Terschelling"
"377",4158274107,"","Terschelling"
"378",4158237594,"Taraxacum officinale","Terschelling"
"379",4158164713,"Malva neglecta","Terschelling"
"380",4158128774,"Pedicularis sylvatica","Terschelling"
"381",4157963385,"Artemisia maritima","Terschelling"
"382",4157927603,"Cerastium holosteoides","Terschelling"
"383",4157870732,"Hypnum cupressiforme","Terschelling"
"384",4157859585,"Malva neglecta","Terschelling"
"385",4157834817,"Crambe maritima","Terschelling"
"386",4157803068,"Crambe maritima","Terschelling"
"387",4157795577,"Erodium cicutarium","Terschelling"
"388",4157776726,"Spergularia rubra","Terschelling"
"389",4157767926,"Cotula coronopifolia","Terschelling"
"390",4157767007,"Crambe maritima","Terschelling"
"391",4157707495,"Crambe maritima","Terschelling"
"392",4157680745,"Viola canina","Terschelling"
"393",4157666579,"Crambe maritima","Terschelling"
"394",4157649900,"Myosotis ramosissima","Terschelling"
"395",4157633072,"Cotula coronopifolia","Terschelling"
"396",4157622584,"Beta vulgaris","Terschelling"
"397",4157593350,"Cerastium glomeratum","Terschelling"
"398",4157526027,"Viola canina","Terschelling"
"399",4157435935,"Myosotis discolor","Terschelling"
"400",4157394080,"Crambe maritima","Terschelling"
"401",4157390210,"Rosa spinosissima","Terschelling"
"402",4157367202,"Crambe maritima","Terschelling"
"403",4157361031,"Dactylorhiza maculata","Terschelling"
"404",4157312179,"Malus domestica","Terschelling"
"405",4157307280,"Cerastium fontanum","Terschelling"
"406",4157298175,"Rumex acetosella","Terschelling"
"407",4157259217,"Carex arenaria","Terschelling"
"408",4157230909,"Crambe maritima","Terschelling"
"409",4157218244,"Beta vulgaris","Terschelling"
"410",4157187836,"Artemisia maritima","Terschelling"
"411",4157184071,"Plantago major","Terschelling"
"412",4157181105,"Crambe maritima","Terschelling"
