LIDNUM	NAME	LATSTR	LONGSTR	LAT	LONG	ALTITUDE	MAX_AGE	BFA_MAX	BFA_MAX_ABS	FRAC_MAX	MIN_AGE	BFA_MIN	BFA_MIN_ABS	FRAC_MIN	CHRON	AGE_COMM	BASIN	SUBBASIN	COUNTRY	STATE	COUNTY	APNUMSPM	GENERAL	LOC_SYNONYMS	MEAN_HYPSODONTY	ESTIMATE_PRECIP	ESTIMATE_TEMP	ESTIMATE_NPP	PERS_WOODY_COVER	PERS_POLLEN_AP	PERS_POLLEN_NAP	PERS_POLLEN_OTHER	SIDNUM	ORDER	FAMILY	GENUS	SPECIES	SUBCLASSORSUPERORDER	SUBORDERORSUPERFAMILY	SUBFAMILY	UNIQUE	TAXON_STATUS	ID_STATUS	ADD_INFO	SOURCE_NAME	LS_MICROWEAR	LS_MESOWEAR	LS_MESOWEAR_SCORE	LS_MW_OR_HIGH	LS_MW_OR_LOW	LS_MW_CS_SHARP	LS_MW_CS_ROUND	LS_MW_CS_BLUNT	SVLENGTH	BODYMASS	SXDIMSZE	SXDIMDIS	TSHM	TCRWNHT	HORIZODONTY	CROWNTYP	CUSP_SHAPE	CUSP_COUNT_BUCCAL	CUSP_COUNT_LINGUAL	LOPH_COUNT_LON	LOPH_COUNT_TRS	FCT_AL	FCT_OL	FCT_SF	FCT_OT	FCT_CM	MICROWEAR	MESOWEAR	MESOWEAR_SCORE	MW_OR_HIGH	MW_OR_LOW	MW_CS_SHARP	MW_CS_ROUND	MW_CS_BLUNT	DIET_1	DIET_2	DIET_3	LOCOMO1	LOCOMO2	LOCOMO3	SPCOMMENT	SP_SYNONYM	SP_SYNONYM_COMMENT	HOMININ_BONES	BIPEDAL_FOOTPRINTS	CUTMARKS	STONE_TOOLS	TECHNOLOGICAL_MODE_1	TECHNOLOGICAL_MODE_2	TECHNOLOGICAL_MODE_3	CULTURAL_STAGE_1	CULTURAL_STAGE_2	CULTURAL_STAGE_3	REGIONAL_CULTURE_1	REGIONAL_CULTURE_2	REGIONAL_CULTURE_3
10576	Gulf Coast GC14A	30 13 48 N	82 37 47 W	30.23	-82.63	\N	2.63	blancan-late			1.8	blancan-late			L Bl		Northeast Gulf Salt	\N	United States of America	FL	Columbia	\N	n	GC14A	2.00	\N	\N	\N	\N	\N	\N	\N	22850	Proboscidea	Elephantidae	Mammuthus	indet.	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	&gt;5m	\N	n	n	lam	hyp	hyp	LMM0M	L	M	M	0	M	0	1	0	1	1	\N	\N		\N	\N	\N	\N	\N	p	herbivore	graze	te	surficial	graviportal	\N	Archidiskodon indet.	synonym of genus Mammuthus	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
10592	Gulf Coast GC18IIIA	28 7 59 N	81 37 54 W	28.133333	-81.631667	\N	1.8	irvingtonian-1			0.9	irvingtonian-1			E Ir		Tampa	\N	United States of America	FL		\N	y	GC18IIIA	1.82	\N	\N	\N	\N	\N	\N	\N	81983	Proboscidea	Elephantidae	Mammuthus	columbi	Eutheria	\N		-		\N	\N	Mammut hayi * from merge	\N	\N		\N	\N	\N	\N	\N		9407000	n	n	lam	hyp	\N	LMM0M	L	M	M	0	M	0	1	0	1	1		\N		\N	\N	\N	\N	\N	p	herbivore	graze	te	surficial	graviportal	\N	Mammut hayi:Mammuthus imperator:Mammuthus hayi	synonym of Mammuthus columbi (Lister 2017):synonym of Mammuthus columbi (Lister 2017)	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
10595	Gulf Coast GC18IV	28 7 59 N	81 37 54 W	28.133333	-81.631667	\N	1.8	irvingtonian-1			0.9	irvingtonian-1			E Ir		Tampa	\N	United States of America	FL		\N	y	GC18IV	1.82	\N	\N	\N	\N	\N	\N	\N	81983	Proboscidea	Elephantidae	Mammuthus	columbi	Eutheria	\N		-		\N	\N	Mammut hayi * from merge	\N	\N		\N	\N	\N	\N	\N		9407000	n	n	lam	hyp	\N	LMM0M	L	M	M	0	M	0	1	0	1	1		\N		\N	\N	\N	\N	\N	p	herbivore	graze	te	surficial	graviportal	\N	Mammut hayi:Mammuthus imperator:Mammuthus hayi	synonym of Mammuthus columbi (Lister 2017):synonym of Mammuthus columbi (Lister 2017)	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
11064	Southern Great Basin SB36C	35 40 1 N	105 57 51 W	35.667222	-105.964444	\N	1.8	irvingtonian-1			0.9	irvingtonian-1			E Ir		Rio Grande	\N	United States of America	NM		\N	y	SB36C	2.60	\N	\N	\N	\N	\N	\N	\N	21211	Proboscidea	Elephantidae	Mammuthus	meridionalis	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N		9843577	n	n	lam	hyp	hyp	LMM0M	L	M	M	0	M	0	1	0	1	1	\N	\N		\N	\N	\N	\N	\N	p	herbivore	graze	te	surficial	graviportal	\N	Elephas moghrebiensis:Elephas maghrebiensis	* merged from species_id 34751	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
11064	Southern Great Basin SB36C	35 40 1 N	105 57 51 W	35.667222	-105.964444	\N	1.8	irvingtonian-1			0.9	irvingtonian-1			E Ir		Rio Grande	\N	United States of America	NM		\N	y	SB36C	2.60	\N	\N	\N	\N	\N	\N	\N	81983	Proboscidea	Elephantidae	Mammuthus	columbi	Eutheria	\N		-		\N	\N	Mammuthus imperator * from merge	\N	\N		\N	\N	\N	\N	\N		9407000	n	n	lam	hyp	\N	LMM0M	L	M	M	0	M	0	1	0	1	1		\N		\N	\N	\N	\N	\N	p	herbivore	graze	te	surficial	graviportal	\N	Mammut hayi:Mammuthus imperator:Mammuthus hayi	synonym of Mammuthus columbi (Lister 2017):synonym of Mammuthus columbi (Lister 2017)	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
11069	Southern Great Basin SB37E	35 40 1 N	105 57 51 W	35.667222	-105.964444	\N	1.8	irvingtonian-1			0.9	irvingtonian-1			E Ir		Rio Grande	\N	United States of America	NM		\N	n	SB37E	2.50	\N	\N	\N	\N	\N	\N	\N	21211	Proboscidea	Elephantidae	Mammuthus	meridionalis	Eutheria	\N		-	\N	species id uncertain	\N	\N	\N	\N		\N	\N	\N	\N	\N		9843577	n	n	lam	hyp	hyp	LMM0M	L	M	M	0	M	0	1	0	1	1	\N	\N		\N	\N	\N	\N	\N	p	herbivore	graze	te	surficial	graviportal	\N	Elephas moghrebiensis:Elephas maghrebiensis	* merged from species_id 34751	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
11070	Southern Great Basin SB37F	35 40 1 N	105 57 51 W	35.667222	-105.964444	\N	1.8	irvingtonian-1			0.9	irvingtonian-1			E Ir		Rio Grande	\N	United States of America	NM		\N	n	SB37F	2.75	\N	\N	\N	\N	\N	\N	\N	81983	Proboscidea	Elephantidae	Mammuthus	columbi	Eutheria	\N		-		\N	\N	Mammuthus imperator * from merge	\N	\N		\N	\N	\N	\N	\N		9407000	n	n	lam	hyp	\N	LMM0M	L	M	M	0	M	0	1	0	1	1		\N		\N	\N	\N	\N	\N	p	herbivore	graze	te	surficial	graviportal	\N	Mammut hayi:Mammuthus imperator:Mammuthus hayi	synonym of Mammuthus columbi (Lister 2017):synonym of Mammuthus columbi (Lister 2017)	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
20353	Villány 3	46 12 0 N	18 18 0 E	46.2	18.3	\N	3.55	mn16	\N	\N	1.9	mn17	\N	\N			Pannonian	\N	Hungary			\N		Villány-Kalkberg	2.25	\N	14.5	720	\N	\N	\N	\N	21211	Proboscidea	Elephantidae	Mammuthus	meridionalis	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N		9843577	n	n	lam	hyp	hyp	LMM0M	L	M	M	0	M	0	1	0	1	1	\N	\N		\N	\N	\N	\N	\N	p	herbivore	graze	te	surficial	graviportal	\N	Elephas moghrebiensis:Elephas maghrebiensis	* merged from species_id 34751	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
20384	Saint Vallier	45 10 0 N	4 49 0 E	45.167	4.817	\N	2.5	mn17	\N	\N	1.9	mn17	\N	\N			Bresse - Jura	\N	France	Ardeche		5000		Saint-Vallier: St. Vallier: St.-Vallier	1.88	\N	16.7	910	\N	\N	\N	\N	21211	Proboscidea	Elephantidae	Mammuthus	meridionalis	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N		9843577	n	n	lam	hyp	hyp	LMM0M	L	M	M	0	M	0	1	0	1	1	\N	\N		\N	\N	\N	\N	\N	p	herbivore	graze	te	surficial	graviportal	\N	Elephas moghrebiensis:Elephas maghrebiensis	* merged from species_id 34751	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
20389	La Calera	40 15 55 N	1 03 10 W	40.2652777777778	-1.05277777777778	\N	5	mn15	\N	\N	3.55	mn15	\N	\N	Alfambrian	Mein et al.: (1990) placed the locality in the uppermost part of MN 14	Iberian Range	\N	Spain	Province of Teruel		\N		Aldehuela	1.75	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
